STATION,NAME,DATE,ACMH,ACSH,AWND,DAPR,FMTM,FRGT,MDPR,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WSF1,WSF2,WSF5,WSFG,WT01,WT02,WT03,WT04,WT05,WT07,WT08,WT09,WT16,WT18
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2/7/1960,,,,,,,,,0.06,0,0,,62,55,,,,,,,,,,,,,,,,1,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2/8/1960,,,,,,,,,0.51,0,0,,60,50,,,,,,,,,,1,,1,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2/9/1960,,,,,,,,,0.36,0,0,,55,48,,,,,,,,,,,,1,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2/10/1960,,,,,,,,,0.07,0,0,,60,44,,,,,,,,,,,,,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2/11/1960,,,,,,,,,0,0,0,,61,40,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2/12/1960,,,,,,,,,0,0,0,,61,42,,,,,,,,,,,,,,,,1,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2/13/1960,,,,,,,,,0.02,0,0,,60,45,,,,,,,,,,,,,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2/14/1960,,,,,,,,,0,0,0,,62,39,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2/15/1960,,,,,,,,,0,0,0,,61,42,,,,,,,,,,,,,,,,1,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2/16/1960,,,,,,,,,0,0,0,,64,42,,,,,,,,,,1,,,,,,1,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2/17/1960,,,,,,,,,0,0,0,,62,38,,,,,,,,,,,,,,,,1,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2/18/1960,,,,,,,,,0.13,0,0,,55,42,,,,,,,,,,,,,,1,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2/19/1960,,,,,,,,,0,0,0,,60,40,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2/20/1960,,,,,,,,,0,0,0,,65,42,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2/21/1960,,,,,,,,,0,0,0,,59,39,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2/22/1960,,,,,,,,,0,0,0,,61,37,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2/23/1960,,,,,,,,,0,0,0,,63,39,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2/24/1960,,,,,,,,,0,0,0,,61,36,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2/25/1960,,,,,,,,,0,0,0,,56,45,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2/26/1960,,,,,,,,,0,0,0,,57,45,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2/27/1960,,,,,,,,,0,0,0,,56,39,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2/28/1960,,,,,,,,,0,0,0,,57,45,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2/29/1960,,,,,,,,,0,0,0,,60,43,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",3/1/1960,,,,,,,,,0,0,0,,55,43,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",3/2/1960,,,,,,,,,0,0,0,,58,40,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",3/3/1960,,,,,,,,,0,0,0,,62,47,,,,,,,,,,,,,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",3/4/1960,,,,,,,,,0,0,0,,62,52,,,,,,,,,,,,,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",3/5/1960,,,,,,,,,0.13,0,0,,58,54,,,,,,,,,,1,,,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",3/6/1960,,,,,,,,,0.19,0,0,,59,52,,,,,,,,,,1,,,,,,1,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",3/7/1960,,,,,,,,,0.11,0,0,,61,50,,,,,,,,,,1,,,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",3/8/1960,,,,,,,,,0,0,0,,61,43,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",3/9/1960,,,,,,,,,0,0,0,,60,44,,,,,,,,,,,,,,,,,,,
